is_addition,old_file_path,new_file_path,line_num,content
True,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,2,* Licensed to the Apache Software Foundation (ASF) under one or more
True,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,3,* contributor license agreements.  See the NOTICE file distributed with
True,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,4,* this work for additional information regarding copyright ownership.
True,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,5,"* The ASF licenses this file to You under the Apache License, Version 2.0"
True,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,6,"* (the ""License""); you may not use this file except in compliance with"
True,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,7,* the License.  You may obtain a copy of the License at
True,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,9,*      http://www.apache.org/licenses/LICENSE-2.0
True,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,11,"* Unless required by applicable law or agreed to in writing, software"
True,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,12,"* distributed under the License is distributed on an ""AS IS"" BASIS,"
True,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,13,"* WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied."
True,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,14,* See the License for the specific language governing permissions and
True,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,15,* limitations under the License.
True,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,18,package org.apache.commons.math.analysis.function;
True,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,src/main/java/org/apache/commons/math/analysis/function/Logistic.java,20,import org.apache.commons.math.analysis.UnivariateRealFunction;
