is_addition,old_file_path,new_file_path,line_num,content
False,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,2, Licensed to the Apache Software Foundation (ASF) under one or more
False,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,3, contributor license agreements.  See the NOTICE file distributed with
False,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,4, this work for additional information regarding copyright ownership.
False,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,5," The ASF licenses this file to You under the Apache License, Version 2.0"
False,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,6," (the ""License""); you may not use this file except in compliance with"
False,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,7, the License.  You may obtain a copy of the License at
False,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,9,      http://www.apache.org/licenses/LICENSE-2.0
False,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,11," Unless required by applicable law or agreed to in writing, software"
False,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,12," distributed under the License is distributed on an ""AS IS"" BASIS,"
False,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,13," WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied."
False,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,14, See the License for the specific language governing permissions and
False,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,src/main/java/org/apache/commons/math/MaxEvaluationsExceededException.java,15, limitations under the License.
