is_addition,old_file_path,new_file_path,line_num,content
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,2,"* The Apache Software License, Version 1.1"
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,4,* Copyright (c) 2002 The Apache Software Foundation.  All rights
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,5,* reserved.
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,7,"* Redistribution and use in source and binary forms, with or without"
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,8,"* modification, are permitted provided that the following conditions"
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,9,* are met:
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,11,* 1. Redistributions of source code must retain the above copyright
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,12,"*    notice, this list of conditions and the following disclaimer."
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,14,* 2. Redistributions in binary form must reproduce the above copyright
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,15,"*    notice, this list of conditions and the following disclaimer in"
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,16,*    the documentation and/or other materials provided with the
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,17,*    distribution.
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,19,"* 3. The end-user documentation included with the redistribution, if"
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,20,"*    any, must include the following acknowlegement:"
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,21,"*       ""This product includes software developed by the"
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,22,"*        Apache Software Foundation (http://www.apache.org/)."""
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,23,"*    Alternately, this acknowlegement may appear in the software itself,"
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,24,*    if and wherever such third-party acknowlegements normally appear.
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,26,"* 4. The names ""The Jakarta Project"", ""Commons"", and ""Apache Software"
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,27,"*    Foundation"" must not be used to endorse or promote products derived"
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,28,*    from this software without prior written permission. For written
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,29,"*    permission, please contact apache@apache.org."
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,31,"* 5. Products derived from this software may not be called ""Apache"""
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,32,"*    nor may ""Apache"" appear in their names without prior written"
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,33,*    permission of the Apache Software Foundation.
True,src/java/org/apache/commons/lang/functor/Executor.java,src/java/org/apache/commons/lang/functor/Executor.java,35,* THIS SOFTWARE IS PROVIDED ``AS IS'' AND ANY EXPRESSED OR IMPLIED
